code,section,date,open,high,low,close,vol,value,n_stock,foreign_vol,agency_buy,agency_netbuy,weekday,year,month,day
A003490,KOSPI,2001-08-28,4842,4876,4658,4733,531272,4447000000,60010000,9586645,0,0,3,2001,8,28
A003490,KOSPI,2001-08-29,4671,4733,4644,4705,385482,3158000000,60010000,9586527,0,0,4,2001,8,29
A003490,KOSPI,2001-08-30,4651,4733,4624,4651,310074,2513000000,60010000,9685017,0,0,5,2001,8,30
A003490,KOSPI,2001-08-31,4535,4555,4385,4398,445679,3460000000,60010000,9605604,0,0,6,2001,8,31
A003490,KOSPI,2001-09-03,4501,4501,4296,4296,288743,2189000000,60010000,9468021,0,0,2,2001,9,3
A003490,KOSPI,2001-09-04,4358,4378,4283,4364,401745,3019000000,60010000,9263398,0,0,3,2001,9,4
A003490,KOSPI,2001-09-05,4364,4364,4269,4289,308003,2306000000,60010000,9093104,0,0,4,2001,9,5
A003490,KOSPI,2001-09-06,4310,4419,4289,4330,464080,3519000000,60010000,8996634,0,0,5,2001,9,6
A003490,KOSPI,2001-09-07,4276,4358,4255,4330,319309,2395000000,60010000,8856606,0,0,6,2001,9,7
A003490,KOSPI,2001-09-10,4296,4364,4269,4323,366154,2757000000,60010000,8770600,0,0,2,2001,9,10
A003490,KOSPI,2001-09-11,4337,4405,4330,4364,194429,1479000000,60010000,8770600,0,0,3,2001,9,11
A003490,KOSPI,2001-09-12,3710,3744,3710,3710,1089230,7040000000,60010000,8605925,0,0,4,2001,9,12
A003490,KOSPI,2001-09-13,3751,3791,3526,3641,1261115,7975000000,60010000,8316247,0,0,5,2001,9,13
A003490,KOSPI,2001-09-14,3696,3710,3369,3430,1009672,6093000000,60010000,8227522,0,0,6,2001,9,14
A003490,KOSPI,2001-09-17,3205,3205,2919,2919,804712,4153000000,60010000,8024557,0,0,2,2001,9,17
A003490,KOSPI,2001-09-18,2932,3062,2864,2987,2241897,11631000000,60010000,7852032,0,0,3,2001,9,18
A003490,KOSPI,2001-09-19,3103,3198,2953,2973,1667601,8978000000,60010000,7836920,0,0,4,2001,9,19
A003490,KOSPI,2001-09-20,2932,3069,2809,3034,673249,3405000000,60010000,7835459,0,0,5,2001,9,20
A003490,KOSPI,2001-09-21,2837,2994,2833,2932,583649,2964000000,60010000,7787245,0,0,6,2001,9,21
A003490,KOSPI,2001-09-24,3034,3062,2936,2966,677635,3556000000,60010000,7782834,0,0,2,2001,9,24
A003490,KOSPI,2001-09-25,3232,3232,2803,2830,1662525,8760000000,60010000,7399659,0,0,3,2001,9,25
A003490,KOSPI,2001-09-26,2932,2932,2833,2878,703385,3519000000,60010000,7375718,0,0,4,2001,9,26
A003490,KOSPI,2001-09-27,2898,3212,2898,3130,1799333,9675000000,60010000,8006297,0,0,5,2001,9,27
A003490,KOSPI,2001-09-28,3225,3321,3178,3239,1184243,6672000000,60010000,8176811,0,0,6,2001,9,28
A003490,KOSPI,2001-10-04,3355,3362,3246,3331,1356213,7778000000,60010000,8138922,0,0,5,2001,10,4
A003490,KOSPI,2001-10-05,3263,3283,3150,3164,790974,4432000000,60010000,8136391,0,0,6,2001,10,5
A003490,KOSPI,2001-10-08,3103,3133,3000,3021,700961,3725000000,60010000,8136433,0,0,2,2001,10,8
A003490,KOSPI,2001-10-09,3096,3109,3038,3055,918396,4911000000,60010000,8178312,0,0,3,2001,10,9
A003490,KOSPI,2001-10-10,3034,3048,2976,2997,583455,3057000000,60010000,8180833,0,0,4,2001,10,10
A003490,KOSPI,2001-10-11,3103,3103,3038,3048,947791,5072000000,60010000,8210295,0,0,5,2001,10,11
A003490,KOSPI,2001-10-12,3137,3300,3123,3225,2396509,13403000000,60010000,8239758,0,0,6,2001,10,12
A003490,KOSPI,2001-10-15,3205,3219,3103,3208,812860,4499000000,60010000,8239758,0,0,2,2001,10,15
A003490,KOSPI,2001-10-16,3273,3362,3246,3280,1248270,7161000000,60010000,8286823,0,0,3,2001,10,16
A003490,KOSPI,2001-10-17,3341,3341,3225,3273,1001447,5707000000,60010000,8316286,0,0,4,2001,10,17
A003490,KOSPI,2001-10-18,3232,3314,3171,3260,679015,3844000000,60010000,8316580,0,0,5,2001,10,18
A003490,KOSPI,2001-10-19,3266,3290,3225,3277,542813,3085000000,60010000,8331918,0,0,6,2001,10,19
A003490,KOSPI,2001-10-22,3294,3389,3290,3375,1261385,7361000000,60010000,8296731,0,0,2,2001,10,22
A003490,KOSPI,2001-10-23,3423,3505,3362,3375,1048049,6274000000,60010000,8250523,0,0,3,2001,10,23
A003490,KOSPI,2001-10-24,3410,3471,3382,3410,569490,3389000000,60010000,8250523,0,0,4,2001,10,24
A003490,KOSPI,2001-10-25,3410,3423,3341,3352,514478,3036000000,60010000,8250518,0,0,5,2001,10,25
A003490,KOSPI,2001-10-26,3362,3410,3324,3335,443086,2596000000,60010000,8250518,0,0,6,2001,10,26
A003490,KOSPI,2001-10-29,3335,3362,3300,3355,368351,2131000000,60010000,8249676,0,0,2,2001,10,29
A003490,KOSPI,2001-10-30,3355,3355,3260,3270,327171,1883000000,60010000,8249676,0,0,3,2001,10,30
A003490,KOSPI,2001-10-31,3205,3297,3191,3208,433902,2441000000,60010000,8249676,0,0,4,2001,10,31
A003490,KOSPI,2001-11-01,3205,3236,3171,3188,779121,4340000000,60010000,8247572,0,0,5,2001,11,1
A003490,KOSPI,2001-11-02,3205,3208,3116,3144,1366996,7497000000,60010000,8026130,0,0,6,2001,11,2
A003490,KOSPI,2001-11-05,3164,3260,3157,3242,1455174,8172000000,60010000,8116681,0,0,2,2001,11,5
A003490,KOSPI,2001-11-06,3410,3471,3311,3314,1595585,9347000000,60010000,8162795,0,0,3,2001,11,6
A003490,KOSPI,2001-11-07,3369,3375,3260,3369,1654090,9586000000,60010000,8110368,0,0,4,2001,11,7
A003490,KOSPI,2001-11-08,3375,3416,3324,3355,1209320,7070000000,60010000,8102061,0,0,5,2001,11,8
A003490,KOSPI,2001-11-09,3307,3379,3307,3321,668198,3875000000,60010000,8110833,0,0,6,2001,11,9
A003490,KOSPI,2001-11-12,3341,3478,3328,3478,1940215,11447000000,60010000,7428138,0,0,2,2001,11,12
A003490,KOSPI,2001-11-13,3335,3546,3321,3478,1951058,11665000000,60010000,7363320,0,0,3,2001,11,13
A003490,KOSPI,2001-11-14,3560,3914,3505,3703,3386635,21873000000,60010000,7357343,0,0,4,2001,11,14
A003490,KOSPI,2001-11-15,3819,3839,3689,3791,1745416,11480000000,60010000,7362478,0,0,5,2001,11,15
A003490,KOSPI,2001-11-16,4064,4119,3921,4092,3315495,23315000000,60010000,7955059,0,0,6,2001,11,16
A003490,KOSPI,2001-11-19,4296,4678,4228,4630,4862518,38134000000,60010000,9107129,0,0,2,2001,11,19
A003490,KOSPI,2001-11-20,4637,4794,4208,4276,3172306,24732000000,60010000,9036266,0,0,3,2001,11,20
A003490,KOSPI,2001-11-21,4228,4419,4173,4296,1252883,9410000000,60010000,9025946,0,0,4,2001,11,21
A003490,KOSPI,2001-11-22,4364,4555,4317,4555,1869505,14405000000,60010000,9486373,0,0,5,2001,11,22
A003490,KOSPI,2001-11-23,4494,4603,4433,4549,1724253,13563000000,60010000,9489109,0,0,6,2001,11,23
A003490,KOSPI,2001-11-26,4780,4808,4549,4712,2096250,17101000000,60010000,9486542,0,0,2,2001,11,26
A003490,KOSPI,2001-11-27,4712,5060,4624,4944,3016617,25646000000,60010000,9923104,0,0,3,2001,11,27
A003490,KOSPI,2001-11-28,4794,4903,4501,4576,2386703,19687000000,60010000,10065300,0,0,4,2001,11,28
A003490,KOSPI,2001-11-29,4644,5135,4603,4992,5409313,46740000000,60010000,9913962,0,0,5,2001,11,29
A003490,KOSPI,2001-11-30,5067,5415,5012,5251,3798794,34841000000,60010000,10008672,0,0,6,2001,11,30
A003490,KOSPI,2001-12-03,5251,5510,5251,5353,2631395,24633000000,60010000,10184784,0,0,2,2001,12,3
A003490,KOSPI,2001-12-04,5251,5421,5156,5319,1725625,15899000000,60010000,10401268,0,0,3,2001,12,4
A003490,KOSPI,2001-12-05,5258,5381,5135,5285,2453676,22449000000,60010000,10496989,0,0,4,2001,12,5
A003490,KOSPI,2001-12-06,5401,6076,5353,6076,7901737,79224000000,60010000,10891992,0,0,5,2001,12,6
A003490,KOSPI,2001-12-07,6342,6479,5872,6028,6744835,72470000000,60010000,10679204,0,0,6,2001,12,7
